Created from https://www.rctcbc.gov.uk/EN/Council/CouncillorsCommitteesandMeetings/Meetings/CorporateParentingBoard/2015/10/26/Reports/AgendaItem4FlyingStartupdate.pdf,Machine read in by excel,
lsoa2001Nm,percentIBH,fsStatus
Tylorstown 1,72.4%,In FS by 31/3/16
Penrhiwceiber 1,67.4%,In FS by 31/3/16
Pen-y-waun 2,61.0%,In FS by 31/3/16
Cymmer (Rhondda Cynon Taf) 4,60.3%,In FS by 31/3/16
Glyncoch 1,59.9%,In FS by 31/3/16
Mountain Ash West 2,59.6%,In FS by 31/3/16
Maerdy 2,56.4%,In FS by 31/3/16
Maerdy 1,55.4%,In FS by 31/3/16
Abercynon 2,54.5%,In FS by 31/3/16
Rhydfelen CentraVllan 2,51.8%,In FS by 31/3/16
Trealaw 2,51.4%,In FS by 31/3/16
Treherbert 3,51.0%,In FS by 31/3/16
Tylorstown 3,50.9%,In FS by 31/3/16
Hirwaun 3,50.5%,In FS by 31/3/16
Cwm Clydach 1,48.5%,In FS by 31/3/16
Aberaman South 3,48.4%,In FS by 31/3/16
Gilfach Goch 2,48.1%,In FS by 31/3/16
Cymmer (Rhondda Cynon Taf) 3,48.0%,In FS by 31/3/16
Aberaman South 1,47.6%,In FS by 31/3/16
Pen-y-waun 1,47.5%,In FS by 31/3/16
Tonyrefail East 3,46.9%,In FS by 31/3/16
Church Village,44.9%,In FS by 31/3/16
Penrhiwceiber 2,44.1%,In FS by 31/3/16
Pen-y-graig 3,43.7%,In FS by 31/3/16
Trealaw 3,43.6%,In FS by 31/3/16
Llwyn-y-pia 2,41.9%,In FS by 31/3/16
Tylorstown 2,41.7%,In FS by 31/3/16
Treherbert 2,41.7%,In FS by 31/3/16
Tyn-y-nant 3,41.2%,In FS by 31/3/16
Llanharry 2,41.2%,In FS by 31/3/16
Ynyshir 1,41.2%,In FS by 31/3/16
Rhydfelen CentraVllan 3,40.8%,In FS by 31/3/16
Graig (Rhondda Cynon Taf),40.7%,In FS by 31/3/16
Aberaman North 1,40.6%,In FS by 31/3/16
Cwmbach 2,40.5%,In FS by 31/3/16
Treorchy 3,38.8%,In FS by 31/3/16
Aberdare East 4,38.6%,In FS by 31/3/16
Ystrad 3,38.0%,In FS by 31/3/16
Penrhiwceiber 4,37.5%,Not Flying Start Area
Tyn-y-nant 2,37.5%,Not Flying Start Area
Tonyrefail West 3,37.4%,Flying Start Area
Ynyshir 2,36.9%,Not Flying Start Area
Mountain Ash West 3,36.7%,Not Flying Start Area
Pen-y-graig 1,36.6%,Not Flying Start Area
Ynysybwl 1,36.6%,Not Flying Start Area
Mountain Ash West 1,36.0%,Not Flying Start Area
Treherbert 4,36.0%,Not Flying Start Area
Aberaman South 2,35.9%,Not Flying Start Area
Ystrad 2,34.9%,Not Flying Start Area
Aberdare West/LIwydcoed 5,34.2%,Not Flying Start Area
Ystrad 4,34.1%,Not Flying Start Area
Treorchy 4,33.8%,Not Flying Start Area
Aberdare West/Llwydcoed 3,33.5%,Not Flying Start Area
Gilfach Goch 1,33.5%,Flying Start Area
Treforest 2,33.3%,Not Flying Start Area
Porth 3,33.1%,Not Flying Start Area
Porth 4,32.8%,Not Flying Start Area
Llanharan 1,32.2%,Not Flying Start Area
pentre 3,32.1%,Not Flying Start Area
cwm Clydach 2,32.0%,Not Flying Start Area
Beddau 2,31.8%,Not Flying Start Area
Penrhiwceiber 3,31.7%,Not Flying Start Area
pen_y-graig 4,31.7%,Not Flying Start Area
Rhydfelen Central/llan 1,31.1%,Flying Start Area
Tonyrefail East 2,30.9%,Not Flying Start Area
Talbot Green 2,30.5%,Not Flying Start Area
Llwyn-y-pia 1,30.4%,Flying Start Area
Ferndale 3,30.3%,Not Flying Start Area
Aberaman North 2,30.1%,Not Flying Start Area
Aberdare East 2,29.8%,Not Flying Start Area
Graig (Rhondda cynon Tao 2,29.7%,Not Flying Start Area
Aberdare East 3,29.7%,Not Flying Start Area
Ferndale 2,29.2%,Not Flying Start Area
Tonyrefail West 1,29.2%,Not Flying Start Area
Treherbert 1,29.0%,Not Flying Start Area
Trallwng 1,28.9%,Not Flying Start Area
Tonypandy 1,28.5%,Not Flying Start Area
Rhondda 2,28.3%,Not Flying Start Area
Hirwaun 2,28.3%,Not Flying Start Area
Pont-y-clun 4,28.2%,Not Flying Start Area
Cymmer (Rhondda Cynon Taf) 2,27.9%,Not Flying Start Area
Aberdare West/Llwydcoed 4,27.9%,Not Flying Start Area
Pen-y-graig 2,27.6%,Not Flying Start Area
Cwmbach 1,27.5%,Not Flying Start Area
Trealaw 1,27.1%,Flying Start Area
Treorchy 2,27.0%,Not Flying Start Area
Mountain Ash East 2,26.9%,Not Flying Start Area
Ynysybwl 2,26.9%,Not Flying Start Area
Tonypandy 2,26.9%,Flying Start Area
Hawthorn 2,26.4%,Flying Start Area
Brynna 2,26.1%,Not Flying Start Area
Abercynon 3,25.9%,Flying Start Area
Pentre 4,25.9%,Not Flying Start Area
Aberaman North 3,25.1%,Not Flying Start Area
Mountain Ash East 1,25.0%,Not Flying Start Area
Treorchy 5,24.7%,Not Flying Start Area
Abercynon 1,24.5%,Not Flying Start Area
Hirwaun 1,24.5%,Not Flying Start Area
Taffs Well 2,24.4%,Not Flying Start Area
Cilfynydd 1,24.2%,Not Flying Start Area
Rhigos,23.2%,Not Flying Start Area
Ystrad 1,22.8%,Flying Start Area
Beddau 1,22.5%,Not Flying Start Area
Treforest 1,22.4%,Not Flying Start Area
Glyncoch 2,22.2%,Flying Start Area
Trallwng 3,21.7%,Not Flying Start Area
Ferndale 1,21.6%,Not Flying Start Area
Rhondda 1,20.6%,Not Flying Start Area
Abercynon 4,20.1%,Not Flying Start Area
Cymmer (Rhondda Cynon Taf) 1,19.3%,Not Flying Start Area
Tonyrefail East 1,19.1%,Not Flying Start Area
Ton-teg 3,18.7%,Not Flying Start Area
Aberdare West/Llwydcoed 1,18.5%,Not Flying Start Area
Cilfynydd 2,18.4%,Not Flying Start Area
Porth 1,18.3%,Not Flying Start Area
Hawthorn 1,18.2%,Flying Start Area
Llantwit Fardre 1,17.9%,Not Flying Start Area
Treorchy 1,17.8%,Not Flying Start Area
Aberdare West/l_lwydcoed 2,17.0%,Not Flying Start Area
Llantrisant Town 3,16.9%,Not Flying Start Area
Trallwng 2,16.1%,Not Flying Start Area
Pentre 1,16.0%,Not Flying Start Area
Llantwit Fardre 4,15.9%,Not Flying Start Area
Rhondda 3,15.5%,Not Flying Start Area
Pontypridd Town 2,15.0%,Not Flying Start Area
Llanharry 1,14.4%,Not Flying Start Area
Tonyrefail East 4,14.3%,Not Flying Start Area
Pentre 2,14.0%,Not Flying Start Area
Llanharan 2,12.8%,Not Flying Start Area
Ton-teg 1,12.7%,Not Flying Start Area
Tyn-y-nant 1,12.0%,Not Flying Start Area
Porth 2,11.5%,Not Flying Start Area
Brynna 1,11.4%,Not Flying Start Area
Aberdare East 1,11.4%,Not Flying Start Area
Taffs Well 1,11.4%,Not Flying Start Area
Beddau 3,11.3%,Not Flying Start Area
Tonyrefail West 2,10.3%,Flying Start Area
Llantwit Fardre 3,9.9%,Not Flying Start Area
Cwmbach 3,9.5%,Not Flying Start Area
Ynysybwl 3,9.4%,Not Flying Start Area
Pontypridd Town 1,9.0%,Not Flying Start Area
Pont-y-clun 1,8.9%,Not Flying Start Area
Treforest 3,8.1%,Not Flying Start Area
Llantrisant Town 1,7.8%,Not Flying Start Area
Talbot Green 1,6.9%,Not Flying Start Area
Church Village 2,6.6%,Not Flying Start Area
Llantrisant Town 2,6.2%,Not Flying Start Area
Pont-y-clun 3,5.4%,Not Flying Start Area
Llantwit Fardre 2,5.1%,Not Flying Start Area
Ton-teg 2,4.2%,Not Flying Start Area
Aberdare West/LIwydcoed 6,3.9%,Not Flying Start Area
Pont-y-clun 2,3.6%,Not Flying Start Area
